country,R,G,B
ALL,0.9,0.64141357,0.80012816
AR,0.8951228,0.5814977,0.5702405
BO,0.1,0.89141804,0.2892617
CA,0.1,0.8847824,0.4079817
CL,0.9,0.548048,0.26530606
CO,0.9,0.58724,0.29649356
CR,0.25386426,0.1,0.61073536
DO,0.1922021,0.1,0.52902514
EC,0.35365415,0.1,0.19213381
ES,0.8876469,0.56449246,0.8076614
FR,0.1,0.9,0.28145948
GB,0.1,0.9,0.44763368
GT,0.17751908,0.1,0.66429335
HN,0.10890408,0.28496355,0.9
MX,0.9,0.62605006,0.5096393
NI,0.1,0.1663751,0.9
PA,0.25329527,0.1,0.34207222
PE,0.8901808,0.4961867,0.1
PY,0.3317415,0.1,0.3859416
SV,0.1436827,0.14569387,0.9
US,0.9,0.65989554,0.1
UY,0.8990168,0.61201787,0.1
VE,0.9,0.5343784,0.1
